item_id,project_id,time_period_start,requested_qty,received_qty,returned_qty,consumed_qty,end_available_amount,end_total_quantity,overdue_returns_count,avg_days_to_return
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-15,0.0,3.0,0.0,0.0,0,0,1,409.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-05,0.0,0.0,0.0,0.0,0,0,0,
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-12,0.0,1.0,0.0,0.0,0,0,1,394.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-19,0.0,2.0,0.0,0.0,0,0,2,390.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-26,0.0,1.0,0.0,0.0,0,0,1,384.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-10-07,0.0,30.0,0.0,0.0,0,0,1,332.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-10-14,1.0,2.0,0.0,0.0,0,0,2,331.5
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-10-21,0.0,1.0,0.0,0.0,0,0,1,328.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-10-28,3.0,1.0,0.0,0.0,0,0,1,294.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-11,1.0,0.0,0.0,0.0,0,0,0,
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-25,0.0,1.0,0.0,0.0,0,0,1,286.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-12-09,0.0,3.0,0.0,0.0,0,0,2,269.5
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-12-23,0.0,2.0,0.0,0.0,0,0,2,263.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2025-01-13,0.0,0.0,0.0,0.0,0,0,0,
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-10,0.0,2.0,0.0,0.0,0,0,1,216.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-24,0.0,1.0,0.0,0.0,0,0,1,164.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2025-05-12,1.0,0.0,0.0,0.0,0,0,0,
52771bdc-e39d-450c-b453-79d39a76bccf,unknown,2024-12-16,0.0,2.0,0.0,0.0,1,3,1,234.0
52771bdc-e39d-450c-b453-79d39a76bccf,unknown,2025-01-20,1.0,0.0,0.0,0.0,1,3,0,
52771bdc-e39d-450c-b453-79d39a76bccf,unknown,2025-04-07,1.0,0.0,0.0,0.0,1,3,0,
52771bdc-e39d-450c-b453-79d39a76bccf,unknown,2025-04-28,0.0,1.0,0.0,0.0,0,3,1,60.0
5277ac68-f98a-4aab-823b-d1647a645393,unknown,2025-08-04,1.0,0.0,0.0,0.0,1,17,0,
52d2dce9-3d1e-4798-96bf-7957df374d79,unknown,2025-02-03,8.0,0.0,0.0,0.0,8,8,0,
5397b0a9-a01d-4a4f-a9ed-771e84d43ec0,unknown,2025-03-17,7.0,0.0,0.0,0.0,6,6,0,
53c0c3eb-cb80-4c04-ba85-90d7705b8aba,unknown,2024-12-02,0.0,16.0,0.0,0.0,0,16,1,282.0
53d9d866-ef4b-44e0-a3b8-dfc8533f32f7,unknown,2025-01-20,0.0,0.0,0.0,0.0,1,1,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-06-03,0.0,1.0,0.0,0.0,1,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-06-10,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-06-24,0.0,3.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-07-15,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-07-22,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-07-29,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-08-12,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-08-19,0.0,2.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-08-26,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-09-02,0.0,1.0,0.0,0.0,0,0,0,
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-09-09,0.0,1.0,0.0,0.0,0,0,1,331.0
541c4017-befa-4071-a11d-74e8ca68daea,unknown,2024-09-16,0.0,1.0,0.0,0.0,0,0,0,
