id,department_id,source,total_quantity,current_stock
07a602fb-87ea-445d-8aaf-c4800b5bb77f,ICT Park TTA,inventory,50.0,50.0
07b07e22-db01-48ff-94e8-802acfedca77,Kaizen VC Equipment,inventory,70.0,70.0
07b68250-931b-4fc7-ba09-d33b5d45af40,HQ Office Facility,inventory,5.0,5.0
07c133c0-6c02-4155-a71b-83ee0972374c,ICT Park TTA,inventory,36.0,36.0
07c2e0d4-1379-4760-b4a4-84b54d140080,MINT Commissioning of Smart Communication Rooms at,inventory,50.0,50.0
07c8b54a-dfd8-49cc-b0a1-f8be10d8838b,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
07cb8186-6781-4e34-94d8-a2349e9324e8,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
07e3ff3c-e26e-4965-b988-9320547f120c,EPSS,inventory,80.0,80.0
07e595ee-7318-4f6d-8697-281f1d4650a5,MINT Commissioning of Smart Communication Rooms at,inventory,25.0,25.0
07f4a9af-4528-46e1-9ecd-c051eecb2e63,EPSS,inventory,80.0,80.0
080927e9-85df-42f7-8d1a-1c63ef851bba,ICT Park TTA,inventory,8.0,8.0
0819bfe4-d42e-4f8b-afc1-040255f40a6e,ICT Park TTA,inventory,13.0,13.0
081a7c38-60d1-4418-8e1f-4b2ef9829f15,Dashen Bank DHCI,inventory,108.0,108.0
082afb57-4b15-421d-bd02-0d450f98dcd0,EPSS,inventory,150.0,150.0
082f49b6-9529-40d3-9072-a949330b3c21,Kaizen VC Equipment,inventory,31.0,31.0
083b847d-bdf0-4b40-bf74-c4e298516be1,HQ support,inventory,20.0,20.0
0845ae2f-12b2-4062-bafc-0ed49d478a6a,HQ Office Facility,inventory,1.0,1.0
0848286b-fb73-41c5-9a1b-a136128725a3,HQ Office Facility,inventory,51.0,51.0
0855974a-5ee9-486f-b4f7-ca0f769b935e,ICT Park TTA,inventory,1.0,1.0
0857dc28-3d4c-4c2c-8eba-92d37a305acf,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
085e0af1-e5e0-4667-87d5-c6f6db90bfbf,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
085f19cd-3ede-43d4-97be-a084b44e7c40,HQ Office Facility,inventory,60.0,60.0
086a9854-7c3e-4069-b97d-bb680a0766ad,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
0875eca8-15fd-466e-8228-972dfe7fd9d9,Dashen Bank DHCI,inventory,108.0,108.0
08773743-4112-4e67-a1bb-d24fe83ffd05,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
087f958d-d76b-4d0e-b440-5353b55ab138,ICT Park TTA,inventory,72.0,72.0
0886f884-7e5b-4770-b4bf-939e59151261,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
08906fca-5aa2-4620-a313-76b98d9167f7,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
0890a38b-a2fc-4bb1-95a7-18fa0289aa76,MINT Commissioning of Smart Communication Rooms at,inventory,17.0,17.0
08a8c612-eadf-4b6e-a693-a349c7fdc71d,ICT Park TTA,inventory,40.0,40.0
08addeec-0a52-4256-bc79-e49b66447bd0,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
08b23403-3fcc-43b2-9d0b-b8fe8ba93144,ICT Park TTA,inventory,3.0,3.0
08bbce4c-6ddf-4465-9433-3faf4f4e50dc,ICT Park TTA,inventory,200.0,200.0
08c80477-3f65-434f-b57d-c5ffa1bef760,MINT Commissioning of Smart Communication Rooms at,inventory,120.0,120.0
08dbe735-e444-4235-afe1-c82bee36739c,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
08dd6560-aa07-4ed7-aa9f-883714245b29,ICT Park TTA,inventory,45.0,45.0
08ede77f-93f1-43a1-a964-7c6852dff66a,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0919f4e0-ba59-4b71-8d29-7e5e764af404,MINT Commissioning of Smart Communication Rooms at,inventory,2.0,2.0
091d6df5-d766-4ddf-827c-e09a401a1d3f,MiNT(ECA) - DC,inventory,3.0,3.0
09260dae-f85d-4784-8a0d-bc8ebbdb22b2,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
0926dbd9-697f-4431-a467-14bca0b2410a,ICT Park TTA,asset,4.0,4.0
092f505e-54c5-4c48-bc0b-d8a6bc05e882,ICT Park TTA,inventory,50.0,50.0
09448ef2-951a-4df2-8de7-86d99d845fe1,EPSS,inventory,80.0,80.0
09496f20-62fb-44bd-9305-a6eed6e81ecd,ICT Park TTA,inventory,12.0,12.0
094a7afa-53f4-4bdd-b563-4f3670c620dc,ICT Park TTA,asset,9.0,9.0
0953e601-3894-42e8-aa29-9910621af32c,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
098260ba-6787-4291-8bce-ecdf0ca908ba,ICT Park TTA,asset,12.0,12.0
0989f6ca-bf7c-452d-8b3a-cb90db59c94c,ICT Park TTA,inventory,10.0,10.0
099274b7-5254-4a76-b10e-caf919e87fcc,HQ Office Facility,inventory,60.0,60.0
0997bc69-b0b6-4855-927c-4a12322ac02a,MINT Commissioning of Smart Communication Rooms at,inventory,12.0,12.0
099c05de-f2c9-43d5-aeb4-59db422fe124,HQ Office Facility,inventory,100.0,100.0
099e6da7-1920-4735-a342-99efcb66e5f1,ICT Park TTA,asset,7.0,7.0
099ee905-7971-49fd-83ab-5601bdf7a063,MINT Commissioning of Smart Communication Rooms at,inventory,24.0,24.0
09accd86-1c7e-445e-a80c-d0431df6b002,HQ Office Facility,inventory,100.0,100.0
09c5cdea-10ee-4b7e-811b-465e954f2c50,MINT Commissioning of Smart Communication Rooms at,inventory,20.0,20.0
09c7021b-4581-46ad-9575-2d6728da4567,ICT Park TTA,inventory,200.0,200.0
09e69fd6-2ec3-4127-9cfc-613ef1d0bc08,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
09ed39e3-bb9f-4c78-acbd-77f332873911,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
09edcd73-3eca-485b-95c1-ef36ccba071f,ICT Park TTA,inventory,39.0,39.0
09fbaa75-1127-450c-b49d-3f58a72b7bde,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
09fdfb48-b155-41df-8eb8-55cb327d092c,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0a0097de-042d-4694-9120-f14ebf28f83c,MINT Commissioning of Smart Communication Rooms at,inventory,20.0,20.0
0a09f918-5d77-496e-bbb8-e25ba88f4fb7,HQ Office Facility,inventory,29.0,29.0
